dataset,instancia,n,M,archivo
mejor-caso-bt,BT-M-28,28,84,instancias/mejor-caso-bt/BT-M-28.txt
mejor-caso-bt,BT-M-29,29,87,instancias/mejor-caso-bt/BT-M-29.txt
mejor-caso-bt,BT-M-30,30,90,instancias/mejor-caso-bt/BT-M-30.txt
mejor-caso-bt,BT-M-31,31,93,instancias/mejor-caso-bt/BT-M-31.txt
mejor-caso-bt,BT-M-32,32,96,instancias/mejor-caso-bt/BT-M-32.txt
mejor-caso-bt,BT-M-33,33,99,instancias/mejor-caso-bt/BT-M-33.txt
mejor-caso-bt,BT-M-34,34,102,instancias/mejor-caso-bt/BT-M-34.txt
mejor-caso-bt,BT-M-35,35,105,instancias/mejor-caso-bt/BT-M-35.txt
mejor-caso-bt,BT-M-36,36,108,instancias/mejor-caso-bt/BT-M-36.txt
mejor-caso-bt,BT-M-37,37,111,instancias/mejor-caso-bt/BT-M-37.txt
mejor-caso-bt,BT-M-38,38,114,instancias/mejor-caso-bt/BT-M-38.txt
mejor-caso-bt,BT-M-39,39,117,instancias/mejor-caso-bt/BT-M-39.txt
mejor-caso-bt,BT-M-40,40,120,instancias/mejor-caso-bt/BT-M-40.txt
mejor-caso-bt,BT-M-41,41,123,instancias/mejor-caso-bt/BT-M-41.txt
mejor-caso-bt,BT-M-42,42,126,instancias/mejor-caso-bt/BT-M-42.txt
mejor-caso-bt,BT-M-43,43,129,instancias/mejor-caso-bt/BT-M-43.txt
mejor-caso-bt,BT-M-44,44,132,instancias/mejor-caso-bt/BT-M-44.txt
mejor-caso-bt,BT-M-45,45,135,instancias/mejor-caso-bt/BT-M-45.txt
mejor-caso-bt,BT-M-46,46,138,instancias/mejor-caso-bt/BT-M-46.txt
mejor-caso-bt,BT-M-47,47,141,instancias/mejor-caso-bt/BT-M-47.txt
mejor-caso-bt,BT-M-48,48,144,instancias/mejor-caso-bt/BT-M-48.txt
mejor-caso-bt,BT-M-49,49,147,instancias/mejor-caso-bt/BT-M-49.txt
mejor-caso-bt,BT-M-50,50,150,instancias/mejor-caso-bt/BT-M-50.txt
mejor-caso-bt,BT-M-51,51,153,instancias/mejor-caso-bt/BT-M-51.txt
mejor-caso-bt,BT-M-52,52,156,instancias/mejor-caso-bt/BT-M-52.txt
mejor-caso-bt,BT-M-53,53,159,instancias/mejor-caso-bt/BT-M-53.txt
mejor-caso-bt,BT-M-54,54,162,instancias/mejor-caso-bt/BT-M-54.txt
mejor-caso-bt,BT-M-55,55,165,instancias/mejor-caso-bt/BT-M-55.txt
mejor-caso-bt,BT-M-56,56,168,instancias/mejor-caso-bt/BT-M-56.txt
mejor-caso-bt,BT-M-57,57,171,instancias/mejor-caso-bt/BT-M-57.txt
mejor-caso-bt,BT-M-58,58,174,instancias/mejor-caso-bt/BT-M-58.txt
mejor-caso-bt,BT-M-59,59,177,instancias/mejor-caso-bt/BT-M-59.txt
mejor-caso-bt,BT-M-60,60,180,instancias/mejor-caso-bt/BT-M-60.txt
mejor-caso-bt,BT-M-61,61,183,instancias/mejor-caso-bt/BT-M-61.txt
mejor-caso-bt,BT-M-62,62,186,instancias/mejor-caso-bt/BT-M-62.txt
mejor-caso-bt,BT-M-63,63,189,instancias/mejor-caso-bt/BT-M-63.txt
mejor-caso-bt,BT-M-64,64,192,instancias/mejor-caso-bt/BT-M-64.txt
mejor-caso-bt,BT-M-65,65,195,instancias/mejor-caso-bt/BT-M-65.txt
mejor-caso-bt,BT-M-66,66,198,instancias/mejor-caso-bt/BT-M-66.txt
mejor-caso-bt,BT-M-67,67,201,instancias/mejor-caso-bt/BT-M-67.txt
mejor-caso-bt,BT-M-68,68,204,instancias/mejor-caso-bt/BT-M-68.txt
mejor-caso-bt,BT-M-69,69,207,instancias/mejor-caso-bt/BT-M-69.txt
mejor-caso-bt,BT-M-70,70,210,instancias/mejor-caso-bt/BT-M-70.txt
mejor-caso-bt,BT-M-71,71,213,instancias/mejor-caso-bt/BT-M-71.txt
mejor-caso-bt,BT-M-72,72,216,instancias/mejor-caso-bt/BT-M-72.txt
mejor-caso-bt,BT-M-73,73,219,instancias/mejor-caso-bt/BT-M-73.txt
mejor-caso-bt,BT-M-74,74,222,instancias/mejor-caso-bt/BT-M-74.txt
mejor-caso-bt,BT-M-75,75,225,instancias/mejor-caso-bt/BT-M-75.txt
mejor-caso-bt,BT-M-76,76,228,instancias/mejor-caso-bt/BT-M-76.txt
mejor-caso-bt,BT-M-77,77,231,instancias/mejor-caso-bt/BT-M-77.txt
mejor-caso-bt,BT-M-78,78,234,instancias/mejor-caso-bt/BT-M-78.txt
mejor-caso-bt,BT-M-79,79,237,instancias/mejor-caso-bt/BT-M-79.txt
mejor-caso-bt,BT-M-80,80,240,instancias/mejor-caso-bt/BT-M-80.txt
mejor-caso-bt,BT-M-81,81,243,instancias/mejor-caso-bt/BT-M-81.txt
mejor-caso-bt,BT-M-82,82,246,instancias/mejor-caso-bt/BT-M-82.txt
mejor-caso-bt,BT-M-83,83,249,instancias/mejor-caso-bt/BT-M-83.txt
mejor-caso-bt,BT-M-84,84,252,instancias/mejor-caso-bt/BT-M-84.txt
mejor-caso-bt,BT-M-85,85,255,instancias/mejor-caso-bt/BT-M-85.txt
mejor-caso-bt,BT-M-86,86,258,instancias/mejor-caso-bt/BT-M-86.txt
mejor-caso-bt,BT-M-87,87,261,instancias/mejor-caso-bt/BT-M-87.txt
mejor-caso-bt,BT-M-88,88,264,instancias/mejor-caso-bt/BT-M-88.txt
mejor-caso-bt,BT-M-89,89,267,instancias/mejor-caso-bt/BT-M-89.txt
mejor-caso-bt,BT-M-90,90,270,instancias/mejor-caso-bt/BT-M-90.txt
mejor-caso-bt,BT-M-91,91,273,instancias/mejor-caso-bt/BT-M-91.txt
mejor-caso-bt,BT-M-92,92,276,instancias/mejor-caso-bt/BT-M-92.txt
mejor-caso-bt,BT-M-93,93,279,instancias/mejor-caso-bt/BT-M-93.txt
mejor-caso-bt,BT-M-94,94,282,instancias/mejor-caso-bt/BT-M-94.txt
mejor-caso-bt,BT-M-95,95,285,instancias/mejor-caso-bt/BT-M-95.txt
mejor-caso-bt,BT-M-96,96,288,instancias/mejor-caso-bt/BT-M-96.txt
mejor-caso-bt,BT-M-97,97,291,instancias/mejor-caso-bt/BT-M-97.txt
mejor-caso-bt,BT-M-98,98,294,instancias/mejor-caso-bt/BT-M-98.txt
mejor-caso-bt,BT-M-99,99,297,instancias/mejor-caso-bt/BT-M-99.txt
