dataset,instancia,n,M,archivo
dinamica,DP-400-100,400,100,instancias/dinamica/DP-400-100.txt
dinamica,DP-400-200,400,200,instancias/dinamica/DP-400-200.txt
dinamica,DP-400-300,400,300,instancias/dinamica/DP-400-300.txt
dinamica,DP-400-400,400,400,instancias/dinamica/DP-400-400.txt
dinamica,DP-400-500,400,500,instancias/dinamica/DP-400-500.txt
dinamica,DP-400-600,400,600,instancias/dinamica/DP-400-600.txt
dinamica,DP-400-700,400,700,instancias/dinamica/DP-400-700.txt
dinamica,DP-400-800,400,800,instancias/dinamica/DP-400-800.txt
dinamica,DP-400-900,400,900,instancias/dinamica/DP-400-900.txt
dinamica,DP-400-1000,400,1000,instancias/dinamica/DP-400-1000.txt
dinamica,DP-400-1100,400,1100,instancias/dinamica/DP-400-1100.txt
dinamica,DP-400-1200,400,1200,instancias/dinamica/DP-400-1200.txt
dinamica,DP-400-1300,400,1300,instancias/dinamica/DP-400-1300.txt
dinamica,DP-400-1400,400,1400,instancias/dinamica/DP-400-1400.txt
dinamica,DP-500-0,500,0,instancias/dinamica/DP-500-0.txt
dinamica,DP-500-100,500,100,instancias/dinamica/DP-500-100.txt
dinamica,DP-500-200,500,200,instancias/dinamica/DP-500-200.txt
dinamica,DP-500-300,500,300,instancias/dinamica/DP-500-300.txt
dinamica,DP-500-400,500,400,instancias/dinamica/DP-500-400.txt
dinamica,DP-500-500,500,500,instancias/dinamica/DP-500-500.txt
dinamica,DP-500-600,500,600,instancias/dinamica/DP-500-600.txt
dinamica,DP-500-700,500,700,instancias/dinamica/DP-500-700.txt
dinamica,DP-500-800,500,800,instancias/dinamica/DP-500-800.txt
dinamica,DP-500-900,500,900,instancias/dinamica/DP-500-900.txt
dinamica,DP-500-1000,500,1000,instancias/dinamica/DP-500-1000.txt
dinamica,DP-500-1100,500,1100,instancias/dinamica/DP-500-1100.txt
dinamica,DP-500-1200,500,1200,instancias/dinamica/DP-500-1200.txt
dinamica,DP-500-1300,500,1300,instancias/dinamica/DP-500-1300.txt
dinamica,DP-500-1400,500,1400,instancias/dinamica/DP-500-1400.txt
dinamica,DP-600-0,600,0,instancias/dinamica/DP-600-0.txt
dinamica,DP-600-100,600,100,instancias/dinamica/DP-600-100.txt
dinamica,DP-600-200,600,200,instancias/dinamica/DP-600-200.txt
dinamica,DP-600-300,600,300,instancias/dinamica/DP-600-300.txt
dinamica,DP-600-400,600,400,instancias/dinamica/DP-600-400.txt
dinamica,DP-600-500,600,500,instancias/dinamica/DP-600-500.txt
dinamica,DP-600-600,600,600,instancias/dinamica/DP-600-600.txt
dinamica,DP-600-700,600,700,instancias/dinamica/DP-600-700.txt
dinamica,DP-600-800,600,800,instancias/dinamica/DP-600-800.txt
dinamica,DP-600-900,600,900,instancias/dinamica/DP-600-900.txt
dinamica,DP-600-1000,600,1000,instancias/dinamica/DP-600-1000.txt
dinamica,DP-600-1100,600,1100,instancias/dinamica/DP-600-1100.txt
dinamica,DP-600-1200,600,1200,instancias/dinamica/DP-600-1200.txt
dinamica,DP-600-1300,600,1300,instancias/dinamica/DP-600-1300.txt
dinamica,DP-600-1400,600,1400,instancias/dinamica/DP-600-1400.txt
dinamica,DP-700-0,700,0,instancias/dinamica/DP-700-0.txt
dinamica,DP-700-100,700,100,instancias/dinamica/DP-700-100.txt
dinamica,DP-700-200,700,200,instancias/dinamica/DP-700-200.txt
dinamica,DP-700-300,700,300,instancias/dinamica/DP-700-300.txt
dinamica,DP-700-400,700,400,instancias/dinamica/DP-700-400.txt
dinamica,DP-700-500,700,500,instancias/dinamica/DP-700-500.txt
dinamica,DP-700-600,700,600,instancias/dinamica/DP-700-600.txt
dinamica,DP-700-700,700,700,instancias/dinamica/DP-700-700.txt
dinamica,DP-700-800,700,800,instancias/dinamica/DP-700-800.txt
dinamica,DP-700-900,700,900,instancias/dinamica/DP-700-900.txt
dinamica,DP-700-1000,700,1000,instancias/dinamica/DP-700-1000.txt
dinamica,DP-700-1100,700,1100,instancias/dinamica/DP-700-1100.txt
dinamica,DP-700-1200,700,1200,instancias/dinamica/DP-700-1200.txt
dinamica,DP-700-1300,700,1300,instancias/dinamica/DP-700-1300.txt
dinamica,DP-700-1400,700,1400,instancias/dinamica/DP-700-1400.txt
dinamica,DP-800-0,800,0,instancias/dinamica/DP-800-0.txt
dinamica,DP-800-100,800,100,instancias/dinamica/DP-800-100.txt
dinamica,DP-800-200,800,200,instancias/dinamica/DP-800-200.txt
dinamica,DP-800-300,800,300,instancias/dinamica/DP-800-300.txt
dinamica,DP-800-400,800,400,instancias/dinamica/DP-800-400.txt
dinamica,DP-800-500,800,500,instancias/dinamica/DP-800-500.txt
dinamica,DP-800-600,800,600,instancias/dinamica/DP-800-600.txt
dinamica,DP-800-700,800,700,instancias/dinamica/DP-800-700.txt
dinamica,DP-800-800,800,800,instancias/dinamica/DP-800-800.txt
dinamica,DP-800-900,800,900,instancias/dinamica/DP-800-900.txt
dinamica,DP-800-1000,800,1000,instancias/dinamica/DP-800-1000.txt
dinamica,DP-800-1100,800,1100,instancias/dinamica/DP-800-1100.txt
dinamica,DP-800-1200,800,1200,instancias/dinamica/DP-800-1200.txt
dinamica,DP-800-1300,800,1300,instancias/dinamica/DP-800-1300.txt
dinamica,DP-800-1400,800,1400,instancias/dinamica/DP-800-1400.txt
dinamica,DP-900-0,900,0,instancias/dinamica/DP-900-0.txt
dinamica,DP-900-100,900,100,instancias/dinamica/DP-900-100.txt
dinamica,DP-900-200,900,200,instancias/dinamica/DP-900-200.txt
dinamica,DP-900-300,900,300,instancias/dinamica/DP-900-300.txt
dinamica,DP-900-400,900,400,instancias/dinamica/DP-900-400.txt
dinamica,DP-900-500,900,500,instancias/dinamica/DP-900-500.txt
dinamica,DP-900-600,900,600,instancias/dinamica/DP-900-600.txt
dinamica,DP-900-700,900,700,instancias/dinamica/DP-900-700.txt
dinamica,DP-900-800,900,800,instancias/dinamica/DP-900-800.txt
dinamica,DP-900-900,900,900,instancias/dinamica/DP-900-900.txt
dinamica,DP-900-1000,900,1000,instancias/dinamica/DP-900-1000.txt
dinamica,DP-900-1100,900,1100,instancias/dinamica/DP-900-1100.txt
dinamica,DP-900-1200,900,1200,instancias/dinamica/DP-900-1200.txt
dinamica,DP-900-1300,900,1300,instancias/dinamica/DP-900-1300.txt
dinamica,DP-900-1400,900,1400,instancias/dinamica/DP-900-1400.txt
dinamica,DP-1000-0,1000,0,instancias/dinamica/DP-1000-0.txt
dinamica,DP-1000-100,1000,100,instancias/dinamica/DP-1000-100.txt
dinamica,DP-1000-200,1000,200,instancias/dinamica/DP-1000-200.txt
dinamica,DP-1000-300,1000,300,instancias/dinamica/DP-1000-300.txt
dinamica,DP-1000-400,1000,400,instancias/dinamica/DP-1000-400.txt
dinamica,DP-1000-500,1000,500,instancias/dinamica/DP-1000-500.txt
dinamica,DP-1000-600,1000,600,instancias/dinamica/DP-1000-600.txt
dinamica,DP-1000-700,1000,700,instancias/dinamica/DP-1000-700.txt
dinamica,DP-1000-800,1000,800,instancias/dinamica/DP-1000-800.txt
dinamica,DP-1000-900,1000,900,instancias/dinamica/DP-1000-900.txt
dinamica,DP-1000-1000,1000,1000,instancias/dinamica/DP-1000-1000.txt
dinamica,DP-1000-1100,1000,1100,instancias/dinamica/DP-1000-1100.txt
dinamica,DP-1000-1200,1000,1200,instancias/dinamica/DP-1000-1200.txt
dinamica,DP-1000-1300,1000,1300,instancias/dinamica/DP-1000-1300.txt
dinamica,DP-1000-1400,1000,1400,instancias/dinamica/DP-1000-1400.txt
dinamica,DP-1100-0,1100,0,instancias/dinamica/DP-1100-0.txt
dinamica,DP-1100-100,1100,100,instancias/dinamica/DP-1100-100.txt
dinamica,DP-1100-200,1100,200,instancias/dinamica/DP-1100-200.txt
dinamica,DP-1100-300,1100,300,instancias/dinamica/DP-1100-300.txt
dinamica,DP-1100-400,1100,400,instancias/dinamica/DP-1100-400.txt
dinamica,DP-1100-500,1100,500,instancias/dinamica/DP-1100-500.txt
dinamica,DP-1100-600,1100,600,instancias/dinamica/DP-1100-600.txt
dinamica,DP-1100-700,1100,700,instancias/dinamica/DP-1100-700.txt
dinamica,DP-1100-800,1100,800,instancias/dinamica/DP-1100-800.txt
dinamica,DP-1100-900,1100,900,instancias/dinamica/DP-1100-900.txt
dinamica,DP-1100-1000,1100,1000,instancias/dinamica/DP-1100-1000.txt
dinamica,DP-1100-1100,1100,1100,instancias/dinamica/DP-1100-1100.txt
dinamica,DP-1100-1200,1100,1200,instancias/dinamica/DP-1100-1200.txt
dinamica,DP-1100-1300,1100,1300,instancias/dinamica/DP-1100-1300.txt
dinamica,DP-1100-1400,1100,1400,instancias/dinamica/DP-1100-1400.txt
dinamica,DP-1200-0,1200,0,instancias/dinamica/DP-1200-0.txt
dinamica,DP-1200-100,1200,100,instancias/dinamica/DP-1200-100.txt
dinamica,DP-1200-200,1200,200,instancias/dinamica/DP-1200-200.txt
dinamica,DP-1200-300,1200,300,instancias/dinamica/DP-1200-300.txt
dinamica,DP-1200-400,1200,400,instancias/dinamica/DP-1200-400.txt
dinamica,DP-1200-500,1200,500,instancias/dinamica/DP-1200-500.txt
dinamica,DP-1200-600,1200,600,instancias/dinamica/DP-1200-600.txt
dinamica,DP-1200-700,1200,700,instancias/dinamica/DP-1200-700.txt
dinamica,DP-1200-800,1200,800,instancias/dinamica/DP-1200-800.txt
dinamica,DP-1200-900,1200,900,instancias/dinamica/DP-1200-900.txt
dinamica,DP-1200-1000,1200,1000,instancias/dinamica/DP-1200-1000.txt
dinamica,DP-1200-1100,1200,1100,instancias/dinamica/DP-1200-1100.txt
dinamica,DP-1200-1200,1200,1200,instancias/dinamica/DP-1200-1200.txt
dinamica,DP-1200-1300,1200,1300,instancias/dinamica/DP-1200-1300.txt
dinamica,DP-1200-1400,1200,1400,instancias/dinamica/DP-1200-1400.txt
dinamica,DP-1300-0,1300,0,instancias/dinamica/DP-1300-0.txt
dinamica,DP-1300-100,1300,100,instancias/dinamica/DP-1300-100.txt
dinamica,DP-1300-200,1300,200,instancias/dinamica/DP-1300-200.txt
dinamica,DP-1300-300,1300,300,instancias/dinamica/DP-1300-300.txt
dinamica,DP-1300-400,1300,400,instancias/dinamica/DP-1300-400.txt
dinamica,DP-1300-500,1300,500,instancias/dinamica/DP-1300-500.txt
dinamica,DP-1300-600,1300,600,instancias/dinamica/DP-1300-600.txt
dinamica,DP-1300-700,1300,700,instancias/dinamica/DP-1300-700.txt
dinamica,DP-1300-800,1300,800,instancias/dinamica/DP-1300-800.txt
dinamica,DP-1300-900,1300,900,instancias/dinamica/DP-1300-900.txt
dinamica,DP-1300-1000,1300,1000,instancias/dinamica/DP-1300-1000.txt
dinamica,DP-1300-1100,1300,1100,instancias/dinamica/DP-1300-1100.txt
dinamica,DP-1300-1200,1300,1200,instancias/dinamica/DP-1300-1200.txt
dinamica,DP-1300-1300,1300,1300,instancias/dinamica/DP-1300-1300.txt
dinamica,DP-1300-1400,1300,1400,instancias/dinamica/DP-1300-1400.txt
dinamica,DP-1400-0,1400,0,instancias/dinamica/DP-1400-0.txt
dinamica,DP-1400-100,1400,100,instancias/dinamica/DP-1400-100.txt
dinamica,DP-1400-200,1400,200,instancias/dinamica/DP-1400-200.txt
dinamica,DP-1400-300,1400,300,instancias/dinamica/DP-1400-300.txt
dinamica,DP-1400-400,1400,400,instancias/dinamica/DP-1400-400.txt
dinamica,DP-1400-500,1400,500,instancias/dinamica/DP-1400-500.txt
dinamica,DP-1400-600,1400,600,instancias/dinamica/DP-1400-600.txt
dinamica,DP-1400-700,1400,700,instancias/dinamica/DP-1400-700.txt
dinamica,DP-1400-800,1400,800,instancias/dinamica/DP-1400-800.txt
dinamica,DP-1400-900,1400,900,instancias/dinamica/DP-1400-900.txt
dinamica,DP-1400-1000,1400,1000,instancias/dinamica/DP-1400-1000.txt
dinamica,DP-1400-1100,1400,1100,instancias/dinamica/DP-1400-1100.txt
dinamica,DP-1400-1200,1400,1200,instancias/dinamica/DP-1400-1200.txt
dinamica,DP-1400-1300,1400,1300,instancias/dinamica/DP-1400-1300.txt
dinamica,DP-1400-1400,1400,1400,instancias/dinamica/DP-1400-1400.txt
